Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
custom,SVD,0.25,85,0.023294117647058826,0.88,0.04538681948424069
custom,SVD,0.25,90,0.022000000000000002,0.88,0.042926829268292686
custom,SVD,0.25,95,0.020842105263157894,0.88,0.04071979434447301
custom,SVD,0.25,100,0.019799999999999995,0.88,0.03872860635696821
custom,SVD,0.35,10,0.2798039215686275,0.9196078431372549,0.42906007159982923
custom,SVD,0.35,15,0.18666666666666665,0.92,0.3103614457831326
custom,SVD,0.35,20,0.14,0.92,0.24301886792452834
custom,SVD,0.35,25,0.11200000000000002,0.92,0.1996899224806202
custom,SVD,0.35,30,0.09333333333333332,0.92,0.1694736842105263
custom,SVD,0.35,35,0.08,0.92,0.1472
custom,SVD,0.35,40,0.07,0.92,0.13010101010101013
custom,SVD,0.35,45,0.06222222222222222,0.92,0.11656108597285068
custom,SVD,0.35,50,0.05600000000000001,0.92,0.10557377049180328
custom,SVD,0.35,55,0.05090909090909092,0.92,0.09647940074906368
custom,SVD,0.35,60,0.04666666666666666,0.92,0.08882758620689656
custom,SVD,0.35,65,0.04307692307692308,0.92,0.08230031948881791
custom,SVD,0.35,70,0.04,0.92,0.07666666666666666
custom,SVD,0.35,75,0.037333333333333336,0.92,0.07175487465181059
custom,SVD,0.35,80,0.035,0.92,0.067434554973822
custom,SVD,0.35,85,0.03294117647058823,0.92,0.06360493827160492
custom,SVD,0.35,90,0.03111111111111111,0.92,0.06018691588785047
custom,SVD,0.35,95,0.029473684210526315,0.92,0.05711751662971174
custom,SVD,0.35,100,0.028000000000000004,0.92,0.054345991561181445
custom,SVD,0.4,10,0.31239215686274513,0.9088235294117647,0.4649576455066512
custom,SVD,0.4,15,0.21066666666666667,0.92,0.34283018867924525
custom,SVD,0.4,20,0.158,0.92,0.26968460111317255
custom,SVD,0.4,25,0.1264,0.92,0.22226299694189605
custom,SVD,0.4,30,0.10533333333333333,0.92,0.18902470741222366
custom,SVD,0.4,35,0.09028571428571429,0.92,0.16443438914027148
custom,SVD,0.4,40,0.079,0.92,0.14550550550550553
custom,SVD,0.4,45,0.07022222222222223,0.92,0.13048473967684024
custom,SVD,0.4,50,0.0632,0.92,0.11827502034174125
custom,SVD,0.4,55,0.05745454545454545,0.92,0.1081547619047619
custom,SVD,0.4,60,0.05266666666666667,0.92,0.09962988348183688
custom,SVD,0.4,65,0.04861538461538462,0.92,0.09235069885641678
custom,SVD,0.4,70,0.045142857142857144,0.92,0.08606275902901124
custom,SVD,0.4,75,0.042133333333333335,0.92,0.08057649667405765
custom,SVD,0.4,80,0.0395,0.92,0.07574778530484629
custom,SVD,0.4,85,0.0371764705882353,0.92,0.07146509341199608
custom,SVD,0.4,90,0.035111111111111114,0.92,0.06764076314564914
custom,SVD,0.4,95,0.03326315789473684,0.92,0.06420494699646642
custom,SVD,0.4,100,0.0316,0.92,0.06110130306851619
custom,SVD,0.45,10,0.3474901960784314,0.9148823529411765,0.5036699947303099
custom,SVD,0.45,15,0.24,0.94,0.38237288135593217
custom,SVD,0.45,20,0.18,0.94,0.30214285714285716
custom,SVD,0.45,25,0.14400000000000002,0.94,0.24974169741697416
custom,SVD,0.45,30,0.12,0.94,0.21283018867924525
custom,SVD,0.45,35,0.10285714285714284,0.94,0.18542465753424656
custom,SVD,0.45,40,0.09,0.94,0.16427184466019415
custom,SVD,0.45,45,0.08,0.94,0.14745098039215687
custom,SVD,0.45,50,0.07200000000000001,0.94,0.13375494071146246
custom,SVD,0.45,55,0.06545454545454545,0.94,0.12238698010849909
custom,SVD,0.45,60,0.06,0.94,0.11279999999999997
custom,SVD,0.45,65,0.055384615384615386,0.94,0.10460587326120556
custom,SVD,0.45,70,0.05142857142857142,0.94,0.09752161383285302
custom,SVD,0.45,75,0.048,0.94,0.09133603238866396
custom,SVD,0.45,80,0.045,0.94,0.08588832487309644
custom,SVD,0.45,85,0.04235294117647058,0.94,0.08105389221556887
custom,SVD,0.45,90,0.04,0.94,0.07673469387755102
custom,SVD,0.45,95,0.03789473684210526,0.94,0.07285252960172228
custom,SVD,0.45,100,0.036000000000000004,0.94,0.06934426229508198
custom,SVD,0.5,10,0.364156862745098,0.8697734204793028,0.5133672396005662
custom,SVD,0.5,15,0.264,0.94,0.4122259136212625
custom,SVD,0.5,20,0.198,0.94,0.32710017574692446
custom,SVD,0.5,25,0.15839999999999996,0.94,0.2711143481427531
custom,SVD,0.5,30,0.132,0.94,0.2314925373134328
custom,SVD,0.5,35,0.11314285714285713,0.94,0.20197504069451974
custom,SVD,0.5,40,0.099,0.94,0.1791337824831569
custom,SVD,0.5,45,0.08800000000000001,0.94,0.16093385214007783
